wwtp_id,county_fips,county,state,population_served,sample_location,normalization_method,per_capita_flow_rate,start_date,end_date,days,loss,sm,lt,rd,k,half_life
1382,4013,Maricopa,Arizona,50000,Treatment plant,flow-population,10162.70692174861,2022-07-30,2022-12-12,135,0.0348173901438713,351994766965815.6,14,0.3,0.3566749439387324,1.94294556367559
1383,4013,Maricopa,Arizona,2400000,Treatment plant,flow-population,776.1067694007309,2022-07-30,2022-12-12,135,1158007488512.0,1.99332459609466e+21,14,0.5000000000000002,0.6931471805599457,0.999787663336051
1334,4013,Maricopa,Arizona,150000,Treatment plant,flow-population,1216.1125874875436,2022-07-17,2022-12-12,148,0.0589941665530204,16800666336288.61,14,0.376,0.4716049106127096,1.4694503479610797
1327,4015,Mohave,Arizona,30000,Treatment plant,flow-population,1092.726504058782,2022-07-13,2022-12-14,154,0.0227068103849887,2518149897213.3228,8,0.34,0.4155154439616659,1.6678080443718328
1540,5009,Boone,Arkansas,14000,Treatment plant,flow-population,404.9399993393527,2022-09-26,2022-12-14,79,0.0860490575432777,1032213499904.8835,0,0.371,0.4636240222816965,1.4947456704021589
1565,5103,Ouachita,Arkansas,10200,Treatment plant,flow-population,654.6515295240683,2022-10-02,2022-12-13,72,0.0447461940348148,854101901826.816,14,0.392,0.4975803970159702,1.3927397545320854
1550,5115,Pope,Arkansas,31000,Treatment plant,flow-population,827.2328293865978,2022-09-26,2022-12-14,79,0.0480823405086994,3430217271248.5366,10,0.4350000000000001,0.5709295478356962,1.213810009706195
1545,5119,Pulaski,Arkansas,28500,Treatment plant,flow-population,438.1602412203902,2022-09-26,2022-12-12,77,0.1054817587137222,16962397389225.902,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1732,6001,Alameda,California,229476,Treatment plant,microbial,8.39836211924085e-10,2022-11-03,2022-12-13,40,0.0117268916219472,5.227259830452558,14,0.5000000000000002,0.6931471805599457,0.999787663336051
1733,6001,Alameda,California,47229,Treatment plant,microbial,2.99168552776359e-10,2022-11-03,2022-12-13,40,0.1837498843669891,25.68666393067204,0,0.4640000000000001,0.6236211179113355,1.1112516560071473
1734,6001,Alameda,California,68150,Treatment plant,microbial,1.1212648578045426e-09,2022-11-01,2022-12-13,42,0.1838146597146988,52.84945361917213,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1756,6053,Monterey,California,262000,Treatment plant,microbial,3.380607494532028e-09,2022-11-27,2022-12-13,16,0.0164835657924413,5.745263955745482,14,0.388,0.4910229964698112,1.4113391938509885
1387,6053,Monterey,California,250000,Treatment plant,flow-population,11034.470342491462,2022-07-30,2022-12-13,136,0.0531348809599876,2579196026708.6035,14,0.5000000000000002,0.6931471805599457,0.999787663336051
834,6065,Riverside,California,91765,Treatment plant,flow-population,1112.1353474936789,2022-05-01,2022-12-14,227,25730.71484375,697570898094003.8,0,0.5000000000000002,0.6931471805599457,0.999787663336051
1560,6079,San Luis Obispo,California,14276,Treatment plant,flow-population,550.9383515498818,2022-09-26,2022-12-14,79,0.0101268729194998,10519709184374.904,11,0.372,0.4652151125139385,1.4896334649473293
1593,6079,San Luis Obispo,California,6500,Treatment plant,flow-population,829.6526085942884,2022-10-12,2022-12-14,63,0.0136865815147757,10400126390545.652,14,0.3,0.3566749439387324,1.94294556367559
1561,6079,San Luis Obispo,California,6500,Treatment plant,flow-population,754.2400037044457,2022-09-26,2022-12-13,78,0.120558388531208,4870384644361.453,14,0.3,0.3566749439387324,1.94294556367559
763,6087,Santa Cruz,California,160000,Treatment plant,flow-population,2100.753055153214,2022-05-17,2022-12-13,210,0.0127359172329306,1074445547188.643,14,0.375,0.4700036292457356,1.474456699647469
803,6087,Santa Cruz,California,150000,Treatment plant,flow-population,4995.498188130608,2022-05-17,2022-12-13,210,0.0257644262164831,2637420790067.032,14,0.376,0.4716049106127096,1.4694503479610797
495,6087,Santa Cruz,California,60000,Treatment plant,flow-population,5186.455430187236,2022-05-18,2022-12-13,209,0.0365069359540939,5942314891071.068,12,0.387,0.4893903430459256,1.4160475576343097
802,6087,Santa Cruz,California,85000,Treatment plant,flow-population,5740.270689770152,2022-05-17,2022-12-13,210,0.0405765660107135,4540139841033.954,10,0.38,0.478035800943,1.4496822175932211
