sampling_week,effective_concentration_rolling_average,population,region
2020-01-01,134.84196356544973,"100,000-300,000",Midwest
2020-01-01,107.8735708523598,"100,000-300,000",Nationwide
2020-01-15,22.473660594241625,"1,000,000-3,000,000",Nationwide
2020-01-15,0.0,"1,000,000-3,000,000",Northeast
2020-01-22,0.0,"1,000,000-3,000,000",Nationwide
2020-01-22,0.0,"1,000,000-3,000,000",Northeast
2020-01-29,0.0,"1,000,000-3,000,000",Nationwide
2020-01-29,0.0,"1,000,000-3,000,000",Northeast
2020-02-05,0.0,"1,000,000-3,000,000",Nationwide
2020-02-05,0.0,"1,000,000-3,000,000",Northeast
2020-02-12,0.0,"1,000,000-3,000,000",Nationwide
2020-02-12,0.0,"1,000,000-3,000,000",Northeast
2020-02-19,0.0,"1,000,000-3,000,000",Nationwide
2020-02-19,0.0,"1,000,000-3,000,000",Northeast
2020-02-19,0.0,"10,000-30,000",West
2020-02-26,0.0,"1,000,000-3,000,000",Nationwide
2020-02-26,0.0,"1,000,000-3,000,000",Northeast
2020-03-04,0.9667880764223664,"1,000,000-3,000,000",Nationwide
2020-03-04,1.4501821146335496,"1,000,000-3,000,000",Northeast
2020-03-11,8.681434751777827,"3,000,000-10,000,000",Nationwide
2020-03-11,12.590344274524805,"1,000,000-3,000,000",Northeast
2020-03-11,1.0363388475406434,"1,000,000-3,000,000",West
2020-03-18,137.46023789508834,"3,000,000-10,000,000",Nationwide
2020-03-18,317.4210166016331,"1,000,000-3,000,000",Northeast
2020-03-18,5.941894529052977,"1,000,000-3,000,000",West
2020-03-25,0.0,"10,000-30,000",Midwest
2020-03-25,511.6106796107722,"3,000,000-10,000,000",Nationwide
2020-03-25,1231.7363926720998,"3,000,000-10,000,000",Northeast
2020-03-25,53.10480374825213,"1,000,000-3,000,000",South
2020-03-25,26.123620271215813,"1,000,000-3,000,000",West
2020-04-01,0.7137391277999741,<3000,Midwest
2020-04-01,381.7691988562237,"3,000,000-10,000,000",Nationwide
2020-04-01,943.890745787327,"3,000,000-10,000,000",Northeast
2020-04-01,104.20343892683888,"1,000,000-3,000,000",South
2020-04-01,83.46150049844734,"1,000,000-3,000,000",West
2020-04-08,19.307988394638443,"30,000-100,000",Midwest
2020-04-08,580.658215394713,"3,000,000-10,000,000",Nationwide
2020-04-08,1947.620919256688,"3,000,000-10,000,000",Northeast
2020-04-08,77.72063968982245,"3,000,000-10,000,000",South
2020-04-08,103.19110098557344,"1,000,000-3,000,000",West
2020-04-15,185.7991105373594,"100,000-300,000",Midwest
2020-04-15,669.6392456766489,"10,000,000-30,000,000",Nationwide
2020-04-15,2471.7901483642945,"3,000,000-10,000,000",Northeast
2020-04-15,102.73360424019104,"3,000,000-10,000,000",South
2020-04-15,87.62585327127778,"1,000,000-3,000,000",West
2020-04-22,637.903616542715,"1,000,000-3,000,000",Midwest
2020-04-22,909.844556289184,"10,000,000-30,000,000",Nationwide
2020-04-22,2859.987059640962,"3,000,000-10,000,000",Northeast
2020-04-22,216.9281479749557,"1,000,000-3,000,000",South
2020-04-22,161.12503213216257,"1,000,000-3,000,000",West
2020-04-29,823.5738860293824,"1,000,000-3,000,000",Midwest
2020-04-29,383.1343783013749,"10,000,000-30,000,000",Nationwide
2020-04-29,901.9546435083756,"3,000,000-10,000,000",Northeast
2020-04-29,160.19796522222225,"3,000,000-10,000,000",South
2020-04-29,151.4831070565477,"3,000,000-10,000,000",West
2020-05-06,682.1899477978383,"1,000,000-3,000,000",Midwest
2020-05-06,199.8018680098205,"10,000,000-30,000,000",Nationwide
2020-05-06,170.84967710409038,"3,000,000-10,000,000",Northeast
2020-05-06,224.99036264179213,"3,000,000-10,000,000",South
2020-05-06,129.9614961479853,"3,000,000-10,000,000",West
2020-05-13,266.1279326883604,"1,000,000-3,000,000",Midwest
2020-05-13,129.78351671807408,"10,000,000-30,000,000",Nationwide
2020-05-13,126.3499729936398,"3,000,000-10,000,000",Northeast
2020-05-13,193.01244304250008,"3,000,000-10,000,000",South
2020-05-13,63.80895912418264,"3,000,000-10,000,000",West
2020-05-20,117.82703582516604,"1,000,000-3,000,000",Midwest
2020-05-20,67.12320194182348,"10,000,000-30,000,000",Nationwide
2020-05-20,93.35519240510104,"3,000,000-10,000,000",Northeast
2020-05-20,96.80293528596276,"3,000,000-10,000,000",South
2020-05-20,24.88290880755028,"10,000,000-30,000,000",West
2020-05-27,96.32179262451936,"1,000,000-3,000,000",Midwest
2020-05-27,70.92597351769903,"10,000,000-30,000,000",Nationwide
2020-05-27,70.08827015869511,"3,000,000-10,000,000",Northeast
2020-05-27,115.04694888751897,"3,000,000-10,000,000",South
2020-05-27,30.554003757402416,"3,000,000-10,000,000",West
2020-06-03,116.358909655898,"1,000,000-3,000,000",Midwest
2020-06-03,80.7130512042944,"10,000,000-30,000,000",Nationwide
2020-06-03,52.05267607571114,"3,000,000-10,000,000",Northeast
2020-06-03,146.31858315560757,"3,000,000-10,000,000",South
2020-06-03,45.87080186441791,"10,000,000-30,000,000",West
2020-06-10,208.16700607953183,"1,000,000-3,000,000",Midwest
2020-06-10,116.67060734055032,"10,000,000-30,000,000",Nationwide
2020-06-10,53.61690494255601,"3,000,000-10,000,000",Northeast
2020-06-10,199.89578558841308,"3,000,000-10,000,000",South
2020-06-10,72.31455043503608,"3,000,000-10,000,000",West
2020-06-17,132.95942420317124,"1,000,000-3,000,000",Midwest
2020-06-17,108.15343890210676,"10,000,000-30,000,000",Nationwide
2020-06-17,45.91237197210776,"3,000,000-10,000,000",Northeast
